"","t","estimate","conf.low","conf.high","method"
"1",-4,1.86599095628516,-1.88652944358646,5.61851135615678,"CS"
"2",-3,-0.55454560875523,-3.10631766145812,1.99722644394766,"CS"
"3",-2,0.280419296953735,-1.71051148441381,2.27135007832128,"CS"
"4",-1,-0.26230978111634,-2.10270832520001,1.57808876296733,"CS"
"5",0,1.92816142110073,0.362567632680859,3.4937552095206,"CS"
"6",1,3.48203515454675,1.72951962268575,5.23455068640776,"CS"
"7",2,5.98313028561501,4.1689174489381,7.79734312229191,"CS"
"8",3,8.76649994943581,6.89511415990249,10.6378857389691,"CS"
"9",4,9.4880092382891,7.44435497071986,11.5316635058583,"CS"
"10",5,12.4186633032339,9.98211827794175,14.8552083285261,"CS"
"11",6,18.8228254263334,15.5074254252684,22.1382254273985,"CS"
"12",7,31.8645250563924,27.9388490932551,35.7902010195298,"CS"
"13",-5,0,0,0,"CS"
"14",-999,0,0,0,"CS"
