"","t","method","estimate","conf.low","conf.high"
"1",-999,"ETWFE",0,0,0
"2",-4,"ETWFE",0,0,0
"3",0,"ETWFE",2.29837708886215,0.321059066498756,4.27569511122554
"4",1,"ETWFE",3.3610029307166,1.43704026878628,5.28496559264691
"5",2,"ETWFE",5.51415000258346,3.52887141932164,7.49942858584529
"6",3,"ETWFE",7.71387359610689,5.65077488884891,9.77697230336486
"7",4,"ETWFE",10.0797357018015,8.05330362029342,12.1061677833096
"8",5,"ETWFE",12.3639297382408,10.2555138412555,14.472345635226
"9",6,"ETWFE",17.6084652292331,15.5498378306316,19.6670926278346
"10",7,"ETWFE",22.5201412537783,20.3648370967187,24.6754454108378
