PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Li, KT; van den Bulte, C				Li, Kathleen T.; Van den Bulte, Christophe			Augmented Difference-in-Differences	MARKETING SCIENCE																	Van den Bulte, Christophe/P-4046-2014; Li, Kathleen T/HOF-3526-2023	Van den Bulte, Christophe/0000-0001-9708-1596; Li, Kathleen T/0000-0002-7813-3626													0732-2399	1526-548X				2022 OCT 13	2022										10.1287/mksc.2022.1406	http://dx.doi.org/10.1287/mksc.2022.1406		OCT 2022											WOS:000870597900001
J	Dhar, T; Baylis, K				Dhar, Tirtha; Baylis, Kathy			Fast-Food Consumption and the Ban on Advertising Targeting Children: The Quebec Experience	JOURNAL OF MARKETING RESEARCH																															0022-2437	1547-7193				OCT	2011	48	5					799	813		10.1509/jmkr.48.5.799	http://dx.doi.org/10.1509/jmkr.48.5.799													WOS:000294974500001
J	Gu, X; Kannan, PK				Gu, Xian; Kannan, P. K.			The Dark Side of Mobile App Adoption: Examining the Impact on Customers' Multichannel Purchase	JOURNAL OF MARKETING RESEARCH																															0022-2437	1547-7193				APR	2021	58	2					246	264		10.1177/0022243720988257	http://dx.doi.org/10.1177/0022243720988257													WOS:000629639200002
J	Narang, U; Shankar, V				Narang, Unnati; Shankar, Venkatesh			Mobile App Introduction and Online and Offline Purchases and Product Returns	MARKETING SCIENCE																	SHANKAR, VENKATESH/AAZ-1876-2020	SHANKAR, VENKATESH/0000-0003-0080-2540; Narang, Unnati/0000-0001-5476-3052													0732-2399	1526-548X				SEP-OCT	2019	38	5					756	772		10.1287/mksc.2019.1169	http://dx.doi.org/10.1287/mksc.2019.1169													WOS:000489553300003
J	Janakiraman, R; Lim, JH; Rishika, R				Janakiraman, Ramkumar; Lim, Joon Ho; Rishika, Rishika			The Effect of a Data Breach Announcement on Customer Behavior: Evidence from a Multichannel Retailer	JOURNAL OF MARKETING																															0022-2429	1547-7185				MAR	2018	82	2					85	105		10.1509/jm.16.0124	http://dx.doi.org/10.1509/jm.16.0124													WOS:000425455100005
J	Landsman, V; Stremersch, S				Landsman, Vardit; Stremersch, Stefan			The Commercial Consequences of Collective Layoffs: Close the Plant, Lose the Brand?	JOURNAL OF MARKETING																	Stremersch, Stefan/AAY-5168-2020	Landsman, Vardit/0000-0001-6013-3751													0022-2429	1547-7185				MAY	2020	84	3					122	141		10.1177/0022242919901277	http://dx.doi.org/10.1177/0022242919901277													WOS:000528765200007
J	Berman, R; Israeli, A				Berman, Ron; Israeli, Ayelet			The Value of Descriptive Analytics: Evidence from Online Retailers	MARKETING SCIENCE																	Israeli, Ayelet/K-8704-2018; Berman, Ron/ABG-4684-2020	Israeli, Ayelet/0000-0002-5996-3202; 													0732-2399	1526-548X				NOV-DEC	2022	41	6					1074	1096		10.1287/mksc.2022.1352	http://dx.doi.org/10.1287/mksc.2022.1352		MAR 2022											WOS:000804389600001
J	Guo, FF; Liu, Y				Guo, Fangfei; Liu, Yan			The Effectiveness of Membership-Based Free Shipping: An Empirical Investigation of Consumers' Purchase Behaviors and Revenue Contribution	JOURNAL OF MARKETING																															0022-2429	1547-7185				2023 JUN 12	2023										10.1177/00222429231158116	http://dx.doi.org/10.1177/00222429231158116		JUN 2023											WOS:001007329700001
J	Liaukonyte, J; Teixeira, T; Wilbur, KC				Liaukonyte, Jura; Teixeira, Thales; Wilbur, Kenneth C.			Television Advertising and Online Shopping	MARKETING SCIENCE																															0732-2399	1526-548X				MAY-JUN	2015	34	3					311	330		10.1287/mksc.2014.0899	http://dx.doi.org/10.1287/mksc.2014.0899													WOS:000354725000002
J	Li, XL; Liao, CX; Xie, Y				Li, Xiaolin; Liao, Chenxi; Xie, Ying			Digital Piracy, Creative Productivity, and Customer Care Effort: Evidence from the Digital Publishing Industry	MARKETING SCIENCE																	Liao, Chenxi/AAA-7668-2022	Liao, Chenxi/0000-0003-3267-4707; Li, Xiaolin/0000-0002-0261-823X													0732-2399	1526-548X				JUL-AUG	2021	40	4					685	707		10.1287/mksc.2020.1275	http://dx.doi.org/10.1287/mksc.2020.1275													WOS:000684376800005
J	Krasnikov, A; Jayachandran, S				Krasnikov, Alexander; Jayachandran, Satish			Building Brand Assets: The Role of Trademark Rights	JOURNAL OF MARKETING RESEARCH																															0022-2437	1547-7193				OCT	2022	59	5					1059	1082	00222437221097108	10.1177/00222437221097108	http://dx.doi.org/10.1177/00222437221097108		JUN 2022											WOS:000811638100001
J	Lim, JH; Rishika, R; Janakiraman, R; Kannan, PK				Lim, Joon Ho; Rishika, Rishika; Janakiraman, Ramkumar; Kannan, P. K.			Competitive Effects of Front-of-Package Nutrition Labeling Adoption on Nutritional Quality: Evidence from Facts Up Front-Style Labels	JOURNAL OF MARKETING																		Lim, Joon Ho/0000-0001-7704-1829													0022-2429	1547-7185				NOV	2020	84	6					3	21		10.1177/0022242920942563	http://dx.doi.org/10.1177/0022242920942563													WOS:000581649700001
J	Umashankar, N; Bahadir, SC; Bharadwaj, S				Umashankar, Nita; Bahadir, S. Cem; Bharadwaj, Sundar			Despite Efficiencies, Mergers and Acquisitions Reduce Firm Value by Hurting Customer Satisfaction	JOURNAL OF MARKETING																	Bharadwaj, Sundar/ABN-0353-2022														0022-2429	1547-7185				MAR	2022	86	2					66	86	00222429211024255	10.1177/00222429211024255	http://dx.doi.org/10.1177/00222429211024255		JUN 2021											WOS:000705184200001
